fiyat,takas_puani,cmf,mfi,ad_egim,obv_egim,fiyat_egim,uyum,uyum_gucu,yukselirken_birikim,hacim_mtl,sembol,tarih,ileri_getiri,endeks_getiri
5.4079999923706055,34.0,-0.44341679096178005,61.948927822088905,-0.08274717914786366,-0.07176746962649834,-0.06896140540880595,1.0,-0.013785773739057705,,30.59700934263241,A1CAP,2024-07-04,-5.325445769560333,-9.006121444654836
5.119999885559082,40.0,-0.27221652774394967,43.47134192744455,-0.07923049844350771,0.05091684691925582,0.0030960890034343004,-1.0,-0.08232658744694202,-0.07923049844350771,37.943265664091946,A1CAP,2024-08-05,4.453128303284837,0.9248638901534711
5.3480000495910645,40.0,-0.2823923975884642,67.12159511419293,-0.0849120659271317,0.01922261830050144,-0.06673230730817803,1.0,-0.01817975861895367,,27.693435620397807,A1CAP,2024-09-04,-0.8975291400730501,-10.883434313164365
5.300000190734863,30.0,-0.361756504990535,52.466306567557425,-0.08577729628772805,0.05870542487624209,0.04468931445377946,-1.0,-0.1304666107415075,-0.08577729628772805,26.88014253725207,A1CAP,2024-10-03,-11.396227732380282,-2.6331174535973445
4.696000099182129,40.0,-0.40349394610176864,48.730752998684906,-0.08525926489851039,0.07229197025746342,-0.06342809425957135,1.0,-0.021831170638939038,,29.28660097544527,A1CAP,2024-11-04,4.173766930206524,13.426979254574078
4.892000198364258,40.0,-0.2533907506052915,69.9171054510215,-0.08348882155485417,0.07395745665841826,-0.06471004840258983,1.0,-0.01877877315226434,,20.014774693526387,A1CAP,2024-12-03,8.830737241682352,1.3645731889098789
5.323999881744385,46.0,-0.11178060664587479,69.15099425232688,-0.08126982770885449,0.08386716486261887,0.06322898296755454,-1.0,-0.14449881067640902,-0.08126982770885449,33.81032990595853,A1CAP,2025-01-02,-9.241174190928502,0.4326826313339138
4.831999778747559,40.0,-0.3426708690408156,44.75192222250683,-0.08101116400268088,0.06586374877276789,-0.010401541220034812,1.0,-0.07060962278264607,,24.71609291528225,A1CAP,2025-01-31,-10.59601884375273,-0.9326023490568325
4.320000171661377,40.0,-0.3600360528916718,45.916044821084945,-0.08528023900668537,-0.06974945578365416,-0.08304648993924613,1.0,-0.002233749067439242,,20.725050563897348,A1CAP,2025-03-03,12.037036117212319,-4.306284259830018
4.840000152587891,36.0,-0.21614420507561405,65.93479686587516,-0.08460121817003341,0.07830832269137558,0.030634116578347304,-1.0,-0.11523533474838071,-0.08460121817003341,57.628208770844815,A1CAP,2025-04-03,5.165289093355252,-3.686086851853776
