mom_12_1,mom_6_1,son_1ay,mom_12,ma200_ustunde,ma50_ustunde,volatilite,hacim_mtl,fiyat,sembol,tarih,ileri_getiri,endeks_getiri
3.5391605672890236,5.122326688326662,-1.672727411443542,1.8072326469014355,0,0,40.507571031414805,30.59700934263241,5.4079999923706055,A1CAP,2024-07-04,-5.325445769560333,-9.006121444654836
-26.481783147993898,-11.749344251618133,-5.325445769560333,-30.396955917195246,0,0,38.28444483673781,37.943265664091946,5.119999885559082,A1CAP,2024-08-05,4.453128303284837,0.9248638901534711
-40.95941044627494,-17.52577747190286,4.453128303284837,-38.33025724243178,0,1,36.27630454160658,27.693435620397807,5.3480000495910645,A1CAP,2024-09-04,-0.8975291400730501,-10.883434313164365
-39.33756739056923,-4.2263620408254265,-0.8975291400730501,-39.88203040031605,0,1,29.26503556912233,26.88014253725207,5.300000190734863,A1CAP,2024-10-03,-11.396227732380282,-2.6331174535973445
-32.32890270098546,-18.007425646712218,-11.396227732380282,-40.040855058181805,0,0,30.207709743515522,29.28660097544527,4.696000099182129,A1CAP,2024-11-04,4.173766930206524,13.426979254574078
-26.670826954345518,-14.618180014870386,4.173766930206524,-23.610238179572086,0,0,25.982887287973423,20.014774693526387,4.892000198364258,A1CAP,2024-12-03,8.830737241682352,1.3645731889098789
-6.498464906944301,-9.54141632274963,8.830737241682352,1.758409974062869,0,1,27.953404230361212,33.81032990595853,5.323999881744385,A1CAP,2025-01-02,-9.241174190928502,0.4326826313339138
-13.120103285671147,3.984375014551911,-9.241174190928502,-21.148825877941047,0,0,27.602391323830034,24.71609291528225,4.831999778747559,A1CAP,2025-01-31,-10.59601884375273,-0.9326023490568325
-22.164954313348375,-9.648471691449622,-10.59601884375273,-30.41237042134952,0,0,28.70526428859494,20.725050563897348,4.320000171661377,A1CAP,2025-03-03,12.037036117212319,-4.306284259830018
-22.636101610375714,-18.49056573217983,12.037036117212319,-13.323781219533215,0,1,38.347722797010896,57.628208770844815,4.840000152587891,A1CAP,2025-04-03,5.165289093355252,-3.686086851853776
-25.12376262274001,3.0664405954940577,5.165289093355252,-21.25618849997761,1,1,38.68545743671645,41.237100205063776,5.090000152587891,A1CAP,2025-05-06,34.97052415737536,3.8523359764067955
-7.454542680220166,4.047423266455263,34.97052415737536,24.90908882834695,1,1,49.73443371631341,303.0724302650808,6.869999885559082,A1CAP,2025-06-05,21.106256672770463,5.392884620967231
27.034021731712432,29.038317771490195,21.106256672770463,53.846148420150676,1,1,58.477777659058674,401.9862374539819,8.319999694824219,A1CAP,2025-07-08,22.59615605046772,9.58071041090327
62.49999767169352,72.18543203205073,22.59615605046772,99.21875072759579,1,1,61.7648649044621,316.641409342762,10.199999809265137,A1CAP,2025-08-07,-8.529410802231785,-2.06772697639519
90.72549952659557,136.11109731374017,-8.529410802231785,74.4577381673636,1,0,66.383112708269,300.03025714026273,9.329999923706055,A1CAP,2025-09-05,40.728834102984976,0.05033217414605051
76.0377280743535,92.76858738769698,40.728834102984976,147.7358423004207,1,1,69.35545744613987,334.05781683935,13.130000114440918,A1CAP,2025-10-06,0.761610258368739,2.19377908905114
179.59965581618457,157.95677251139725,0.761610258368739,181.72911547724433,1,1,71.68095901905,371.85631552627945,13.229999542236328,A1CAP,2025-11-05,-6.5759630813412855,-0.47309477117492005
170.44151688015168,92.5764157586979,-6.5759630813412855,152.65738257349355,1,0,66.45379694113055,165.99964244412757,12.359999656677246,A1CAP,2025-12-04,2.589002082420455,7.175894124650828
132.1562721866092,48.55769363028062,2.589002082420455,138.16680290799025,1,1,60.55644488671894,127.38379275347582,12.680000305175781,A1CAP,2026-01-05,28.706619101283827,18.57203729864554
162.41723687459282,24.313730806719658,28.706619101283827,237.74835352029586,1,1,60.61963687243278,247.0587460558892,16.31999969482422,A1CAP,2026-02-03,7.6593138687155005,-6.717689869736065
277.7777557019843,74.91961230736648,7.6593138687155005,306.7129397373885,1,1,60.03757802531769,340.76973570140126,17.56999969482422,A1CAP,2026-03-04,-17.017642703767144,-0.05253572984185162
263.01651117572277,33.81568577063459,-17.017642703767144,201.23965834815732,1,0,53.851491846246034,214.01615898165488,14.579999923706055,A1CAP,2026-04-03,-21.12482811949945,15.313378839415236
186.44399777263655,10.204084869087836,-21.12482811949945,125.93319558454428,0,0,53.90628620788308,219.14625982802366,11.5,A1CAP,2026-05-06,-13.826088283372961,-8.199821438601552
67.39447149298063,-6.9579262181665875,-13.826088283372961,44.25036408287555,0,0,55.17577243662102,100.0260420814786,9.90999984741211,A1CAP,2026-06-05,9.788095680769505,5.332913162299757
19.11057945803787,-21.84542895186683,9.788095680769505,30.769236941309597,0,0,57.598531535698584,232.75599613628262,10.880000114440918,A1CAP,2026-07-06,-17.371326502232066,-5.001215921695723
202.5178931696931,109.18254588793968,-4.008018337798025,190.3929205363316,1,1,65.28451613058796,13.067621876206397,47.739356994628906,ACSEL,2022-09-05,9.603338056888177,2.965702144667315
198.7002291284366,73.27197885499639,9.603338056888177,227.3854219083399,1,1,64.36105624798238,17.561601079419518,52.32392883300781,ACSEL,2022-10-04,10.380956991351376,17.753035835557363
237.89198170667868,12.055276360562273,10.380956991351376,272.9684030048739,1,1,55.974748142092245,37.101356623996736,57.755653381347656,ACSEL,2022-11-02,27.696284445656218,23.927407006445577
210.24282170333274,15.98499119404735,27.696284445656218,296.1685560745179,1,1,50.6312444222348,49.6161033116438,73.75182342529297,ACSEL,2022-12-01,3.851347276383832,9.175221051920634
314.5383469344719,60.68073734162014,3.851347276383832,330.5036582686993,1,1,51.185778977000375,32.96186229050369,76.5922622680664,ACSEL,2022-12-30,-2.4072773050096807,-7.494738443054205
275.17116147828057,54.00800299698185,-2.4072773050096807,266.13975125307275,1,0,55.40816608394138,31.696152771913148,74.74847412109375,ACSEL,2023-01-30,-8.799999836691896,5.808127818592923
214.40262845309786,56.57620635632692,-8.799999836691896,186.7351976626702,1,0,68.8760746400482,19.985714327806853,68.17060852050781,ACSEL,2023-03-06,-9.429828439201193,-7.570043603533739
147.42805478981685,30.28572211783789,-9.429828439201193,124.09601371268435,1,0,67.84600097365437,15.479058760960768,61.74223709106445,ACSEL,2023-04-04,-18.482650707055768,-11.7032250088
32.2252283929054,6.902499541290408,-18.482650707055768,7.786501282437963,0,0,66.30617619616383,8.836130525458145,50.33063507080078,ACSEL,2023-05-05,20.099017165087375,22.450462065575707
1.074058100135833,-31.756758364376868,20.099017165087375,21.38895038713251,0,1,63.585084766816365,9.525787689424515,60.446598052978516,ACSEL,2023-06-06,37.675193284139375,16.35986579804667
31.693068643699718,-21.08002001374426,37.675193284139375,81.30868679702795,1,1,66.1625673611735,28.02746418222504,83.219970703125,ACSEL,2023-07-10,8.91393577884758,18.209364780129377
67.33467739337442,11.333337143855648,8.91393577884758,82.25078307196164,1,1,64.05590640967547,44.22929049503708,90.63814544677734,ACSEL,2023-08-08,13.876657674335524,12.486178455287366
89.86042366882931,32.95780603089469,13.876657674335524,116.20670472039585,1,1,56.62998407991523,47.07753753312111,103.21569061279297,ACSEL,2023-09-07,0.5802632583635114,1.5255992204044055
97.26288318716772,67.1719320123739,0.5802632583635114,98.40752722069138,1,1,57.12833116731291,35.27081281442833,103.81461334228516,ACSEL,2023-10-06,31.44231332422884,-7.0514727021605434
79.7479679726251,106.26525613326305,31.44231332422884,136.26488725651237,1,1,68.81196881046104,124.09238751428299,136.45632934570312,ACSEL,2023-11-06,1.3167461384027135,2.4072119545881066
85.02095678207439,125.74691337650759,1.3167461384027135,87.4572130857381,1,1,70.55352974961686,37.80266226405945,138.25311279296875,ACSEL,2023-12-05,-10.252704138686408,-6.3246195020115525
80.50532612432129,66.12973018960363,-10.252704138686408,61.99864908222359,1,0,73.34639360069299,47.92933883344841,124.07843017578125,ACSEL,2024-01-04,5.470642692388861,14.81094478312972
65.9945994011492,36.89427289599612,5.470642692388861,75.07557082304832,1,1,72.70904927216377,45.40286477181663,130.86631774902344,ACSEL,2024-02-02,33.1044936398547,2.7926226358322426
91.96882731310052,26.789170301596887,33.1044936398547,155.51913554146952,1,1,72.24057148454428,106.21132230711365,174.18894958496094,ACSEL,2024-03-04,-16.84813834905722,1.4953345618678338
182.12283485622217,67.78846828687395,-16.84813834905722,134.59038932536367,1,0,74.439094045241,55.107613251507566,144.8413543701172,ACSEL,2024-04-02,6.753963176347866,13.579387314504388
187.77970746120508,6.144841404293633,6.753963176347866,207.2162429321365,1,0,63.58358666716363,46.9094593459877,154.62388610839844,ACSEL,2024-05-09,-14.719170634309343,-1.2620934494469327
155.80246215490584,11.84116074112891,-14.719170634309343,118.1504612635607,0,0,61.115958712720655,18.872359848234556,131.86453247070312,ACSEL,2024-06-07,5.299012690997351,8.731626508664148
58.45299073837751,6.275145715408659,5.299012690997351,66.84943482686899,1,0,54.38814755314068,17.89070183950119,138.85205078125,ACSEL,2024-07-11,-9.633362594023964,-10.846037713586265
53.19383477763655,6.1022065643672185,-9.633362594023964,38.436117201816856,0,0,54.33031448563693,20.52438502221527,125.4759292602539,ACSEL,2024-08-12,0.6364378886759336,-4.160303913792262
21.566719667621847,-27.96562034547845,0.6364378886759336,22.34041633160706,0,0,52.1806971504749,48.674264362923815,126.27450561523438,ACSEL,2024-09-11,-14.229246575988041,-4.836683039382638
21.634615349283393,-12.818748371710488,-14.229246575988041,4.326926009479259,0,0,47.79304141693925,15.905060785480117,108.30659484863281,ACSEL,2024-10-10,3.4101387422705187,3.4883691794558302
-20.629116019788874,-29.95480997502228,3.4101387422705187,-17.922458755097114,0,0,44.86463296387534,14.061426778840637,112.0,ACSEL,2024-11-11,16.51785714285714,8.862966296899177
-18.989165786293903,-15.064348311488917,16.51785714285714,-5.607911920637099,0,1,46.70625007576118,28.067358195224763,130.5,ACSEL,2024-12-10,-10.498081952676008,-0.97335727224791
5.175411886756898,-6.01507196635358,-10.498081952676008,-5.865989047179376,0,1,44.985019774535,32.257626854457094,116.80000305175781,ACSEL,2025-01-09,-2.054795773263285,-0.48996827646803354
-10.748613500566373,-6.9144147882746925,-2.054795773263285,-12.582547217935613,0,0,42.348966389203774,21.928063890096283,114.4000015258789,ACSEL,2025-02-07,2.622377587400071,4.727830966272761
-34.324191173746,-9.403722494497636,2.622377587400071,-32.60192348274259,0,1,37.98209562544116,12.870693704727174,117.4000015258789,ACSEL,2025-03-10,-6.388415589881191,-10.397041830627318
-18.945799674115595,8.39598612619561,-6.388415589881191,-24.123878843987924,0,1,42.135438287717854,14.136128359975816,109.9000015258789,ACSEL,2025-04-10,0.18198084209770649,3.872106915690421
-28.924305104559355,-1.8749986376081162,0.18198084209770649,-28.794960956461836,0,1,48.75797630716811,34.96486351887512,110.0999984741211,ACSEL,2025-05-13,-8.446862444370728,-3.610235909727544
-16.5052221312183,-15.632185077301841,-8.446862444370728,-23.55791116602718,0,0,45.949943687746995,10.756908243835067,100.80000305175781,ACSEL,2025-06-16,1.6865048579108644,8.251339072766207
-27.404743045127987,-13.698629779067629,1.6865048579108644,-26.180420509971203,0,0,44.462392402835604,15.95654052522316,102.5,ACSEL,2025-07-16,9.17073319597943,6.946593234257281
-18.311025386071258,-10.402099097163875,9.17073319597943,-10.819547473696488,1,1,46.53890994197079,30.986533643576433,111.9000015258789,ACSEL,2025-08-14,5.183195123569262,-4.180703373076822
-11.383536224766866,-4.684838099246202,5.183195123569262,-6.790371995689459,1,1,47.17826635226535,44.914670348067474,117.69999694824219,ACSEL,2025-09-12,-10.02548490086389,1.775937093255875
8.672973342701251,7.097356973672619,-10.02548490086389,-2.222019191091096,0,0,44.296410742597544,22.777552010803987,105.9000015258789,ACSEL,2025-10-13,0.6609980530275283,0.8023739010758035
-5.4464272090366865,-3.814711177520491,0.6609980530275283,-4.821429933820454,0,0,37.197968955644676,24.666999701956176,106.5999984741211,ACSEL,2025-11-12,-1.0318935176984456,5.570955303836667
-18.31417741446659,5.753963538458584,-1.0318935176984456,-19.15708812260536,0,0,38.13801892724737,17.247895540496064,105.5,ACSEL,2025-12-11,-3.696683910785692,9.089610650292013
-9.674659894272796,2.9268292682926855,-3.696683910785692,-13.013702209323663,0,0,37.62910506114059,18.99913482517662,101.5999984741211,ACSEL,2026-01-12,11.023626718350311,12.58445849700951
-11.188813707194111,-9.204649607958892,11.023626718350311,-1.3986000461365,1,1,35.552314461974724,29.21091850111122,112.80000305175781,ACSEL,2026-02-10,-7.712769806969555,-4.324125602486051
-3.918226928733981,-4.163121515320956,-7.712769806969555,-11.3287929121756,0,0,35.292842242048735,40.035533738798144,104.0999984741211,ACSEL,2026-03-11,9.02978065673623,6.616461533112239
-5.2775277263231395,-1.6997195711257351,9.02978065673623,3.27570375262769,1,1,38.22908972198054,34.06027128619919,113.5,ACSEL,2026-04-10,38.766519823788535,3.7282056203310487
3.088103154404731,6.472797021243859,38.766519823788535,43.051773099724635,1,1,43.35004749347089,98.3422841054165,157.5,ACSEL,2026-05-13,-4.634922572544642,-4.521012432784188
56.249995269472784,49.28909952606635,-4.634922572544642,49.007928969128045,1,1,54.307956554292026,114.07122508461913,150.1999969482422,ACSEL,2026-06-12,-14.181094197423738,1.1012662768590697
46.536582388528956,47.8346448858463,-14.181094197423738,25.756091606326216,1,0,56.320411431767845,37.99816797681884,128.89999389648438,ACSEL,2026-07-13,-5.740879943273757,0.1284388970692607
